bangla,chakma
জিউসের যাই পরিকল্পনা ছিলো ! সব এক এক করে পন্ড যাচ্ছে!,"জিউসের যেই পরিকল্পনা এলহ , বেক এক এক গরি হামত নলাগের !"
মেটাল মেটালকে আঘাত করছে। স্টিল আঘাত করছে স্টিলকে।,মেটাল মেটালকে আঘাত গরের । স্টিল আঘাত গরের স্টিলরে ।
এ তো তুমুল ঝগড়া বেজে গেছে!,ইয়ান দ যদেপদে হোচ্ছে বাজি যিয়ে !
দর্শক সব দাঁড়িয়ে গেছে ! আর এই দুই মেশিনকে দেখছে যার একে অপরকে খুন করতে চাচ্ছে!,"দর্শক বেককুন ঠিগেওন , আর এই দি মেশিনআনি চেনেই যিয়ানর একজন আরেকজনরে মারে ফেলেবার চার !"
কাউকে তো হার মানতেই হবে ! আর হয়েও গেলো!,একজনর দ হার মানা পরিবু। আর ওইউ গেল!
এটম আবার মাটিতে!,এটম আরো মাদিত !
বস্তির রোবটের ফিউস উড়ে গেছে ! যে আজ এই রাতের শোয়ে বীরত্বের প্রমান দিয়েছে!,"বস্তির রোবটের ফিউস উড়ে যিয়ে , যে এচ্যে এই রাতের শোয়ে বীরর প্রমান দিয়ে!"
আর আবার । এটম উঠে দাড়ালো।,"আর আবার, এটম উদি দাড়েলো।"
কেন্টন নিশ্চয়ই লিখে দিয়েছে ! এই রোবট আজ হার মানবে না!,"কেন্টন নিশ্চয়ই লিগি দিয়ে , এই রোবট এচ্যে হার ন মানিবো !"
রাউন্ড চারের মাঝামাঝি । জিউস এবার এই বিষয়টাকে শেষ করতে চাচ্ছে।,"রাউন্ড চেরর মাঝামাঝি, জিউস এবার এই বিষয়টাকে সেজ গুরিবার চার ।"
চ্যাম্প কিছুই করতে পারছে না!,চ্যাম্প কিচ্ছু গুরি নপারের !
এটম উদ্ভাস্তু এবং হতোবুদ্ধের মতো রিং এর চারপাশে ঘুরছে!হ্যান্ডস আপ!,এটম উদ্ভাস্তু আর হতোবুদ্ধের দক্কেন রিং চেরোহিত্তে ঘুরের!হ্যান্ডস আপ!
কি হচ্ছে?,হি অর ?
মনে হয় ওর ভয়েস রিকগনিশন খারাপ হয়ে গেছে!,মনে অত্তে তা ভয়েস রিকগনিশন হারাপ ওই যিয়ে !
ও সাড়া দিচ্ছে না!,তে উত্তর নদের !
জিউস আরো একটা সুযোগ পেয়ে গেছে ! এটমের পেটের উপর তান্ডব চালানোর জন্য! না!,"জিউস আরো এক্কান সুযোগ পেই যিয়ে , এটমর পেটর উপর তান্ডব চালেবাত্তাই ! না!"
থামো! কিছু একটা করো!,থাম! হিজু এক্কান গর!
ও আমাকে শুনতে পারছে না!,তে মরে ন শুনের!
ঘন্টা বেজে গেলো ! আর আবার এই ছোট রোবট দুনিয়াকে হতভম্ব করে দিলো!,"ঘন্টা বাজি গেলো, আর আরো এই চিগোন রোবট দুনিয়াগান হতভম্ব গরি দিলো!"
সব শেষ । ম্যাক্স! ও আমাকে শুনতে পারছে না। এটা কিন্তু খুনের শামিল!,"বেক শেষ, ম্যাক্স! তে মরে ন শুনের । ইয়ান হিন্তু খুনের শামিল!"
